framework,group,competency,sub-item,type
Behaviours Framework Example,Cognitive Competencies,Analytical Thinking,Gathering Data,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Analytical Thinking,Identifying Cause and Effect Relationships,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Analytical Thinking,Thinking Analytically,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Communicating Information,Active Listening,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Communicating Information,Asking the Right Questions,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Communicating Information,Communicating Effectively,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Computational Thinking,Breaking Down Complex Problems,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Computational Thinking,Identifying Patterns,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Creative Thinking,Generating New Ideas,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Creative Thinking,Considering Alternative Perspectives,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Creative Thinking,Brainstorming Innovative Solutions,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Creative Thinking,Experimenting with Unconventional Approaches,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Critical Thinking,Analyzing Information,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Critical Thinking,Evaluating Evidence,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Critical Thinking,Identifying Logical Fallacies,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Critical Thinking,Weighing Pros and Cons,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Design Thinking,Prototyping Solutions,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Design Thinking,Empathizing with Users,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Design Thinking,Ideating Potential Solutions,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Design Thinking,Iterating Based on Feedback,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Problem Solving,Identifying Solutions,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Problem Solving,Breaking Problems into Smaller Parts,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Problem Solving,Prioritizing Key Issues,Sub behavior
Behaviours Framework Example,Cognitive Competencies,Problem Solving,Developing Contingency Plans,Sub behavior
Leadership Framework Example,Leadership Dimensions,Solve problem effectively,Champion desired change,Sub behavior
